track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
6jG2YzhxptolDzLHTGLt7S,323480,71,0.583,0.621,5,-6.902,0,0.0479,0.00972,0.00106,0.181,0.399,140.036,5.391333333333334,2014
3lBRNqXjPp2j3JMTCXDTNO,253746,69,0.546,0.649,6,-4.056,1,0.0324,0.143,1.55e-05,0.0894,0.298,99.05,4.2291,2011
1z6WtY7X4HQJvzxC4UgkSf,267413,74,0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,4.456883333333334,2011
0B3FovCVaGKS5w1FTidEUP,248472,63,0.603,0.602,6,-7.083,1,0.23,0.049,0.0,0.279,0.595,119.703,4.1412,2019
1zSKtBze2IReYU44W0lDzd,182613,59,0.337,0.331,5,-10.16,1,0.0385,0.657,0.0,0.085,0.35,103.203,3.04355,2019
7LikBkHerFGZ58QHVOKp1t,240776,55,0.71,0.842,6,-5.424,0,0.0944,0.0686,0.0,0.337,0.435,102.994,4.012933333333334,2019
7oqftogUN82Q7VNy2TmTJW,272068,54,0.608,0.709,7,-6.175,1,0.374,0.119,0.0,0.337,0.709,105.742,4.534466666666667,2019
38SueFAjT6jtFneyoQamYi,273120,51,0.443,0.406,5,-9.064,1,0.0391,0.00903,0.0,0.0979,0.0558,80.896,4.552,2019
6tgEc2O1uFHcZDKPoo6PC8,222529,64,0.647,0.732,2,-5.846,1,0.0891,0.0846,0.0,0.597,0.548,67.295,3.708816666666667,2019
5hgnY0mVcVetszbb85qeDg,319466,70,0.418,0.441,11,-11.522,0,0.283,0.029,0.0707,0.306,0.172,175.928,5.324433333333333,2014
02M6vucOvmRfMxTXDUwRXu,213506,69,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,3.5584333333333333,2014
6Im9k8u9iIzKMrmV7BWtlF,173710,81,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,2.895166666666667,2020
5OCJzvD7sykQEKHH7qAC3C,197546,79,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,3.2924333333333333,2018
0puf9yIluy9W0vpMEUoAnN,199386,79,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,3.3231,2014
4kV4N9D1iKVxx1KLvtTpjS,190440,78,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,3.174,2019
058t1LUDIQuWs44iagnUlO,123870,64,0.744,0.918,10,-1.799,0,0.066,0.0305,2.92e-06,0.193,0.789,155.015,2.0645,2022
