track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,playlist_id,playlist_name,release_year
4au7FRcgZzChASRYu279xH,Con Calma - Remix,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,5lJogLNbwElUSdBmmf8VQB,181280,2019-04-19,62,0.736,0.868,8,-3.01,0,0.0454,0.166,1.48e-06,0.0419,0.613,94.026,3.021333333333333,56uBMvAujYa1ZLSqkYk6hg,final,2019
6F5c58TMEs1byxUstkzVeM,Roar,6jJ0s89eD6GaHleKKya26X,Katy Perry,5MQBzs5YlZlE28mD9yUItn,223546,2013-10-18,72,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,3.7257666666666664,56uBMvAujYa1ZLSqkYk6hg,final,2013
4rHmKlFRiFzabiVO6e9w2e,Bon Appétit,6jJ0s89eD6GaHleKKya26X,Katy Perry,0UlbGi4oAth8s6rwaGSU8Z,227813,2017-06-09,66,0.8,0.795,6,-5.835,1,0.0626,0.131,9.02e-05,0.221,0.528,106.031,3.796883333333333,56uBMvAujYa1ZLSqkYk6hg,final,2017
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),6jJ0s89eD6GaHleKKya26X,Katy Perry,5BvgP623rtvlc0HDcpzquz,230746,2012-03-12,75,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,3.8457666666666666,56uBMvAujYa1ZLSqkYk6hg,final,2012
1pXrR5Y9OgcIV2JEAl2lCB,I Kissed A Girl,6jJ0s89eD6GaHleKKya26X,Katy Perry,7rSjuY09uCzvMY4TlFsBD8,179640,2008-06-17,72,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,2.994,56uBMvAujYa1ZLSqkYk6hg,final,2008
4z8ssgZfs5TzKiO8HaGWXO,E.T.,6jJ0s89eD6GaHleKKya26X,Katy Perry,5BvgP623rtvlc0HDcpzquz,206373,2012-03-12,70,0.603,0.872,5,-5.404,0,0.0792,0.0213,0.0,0.366,0.691,150.104,3.43955,56uBMvAujYa1ZLSqkYk6hg,final,2012
3f7gYMirBEKuc57218BjOY,California Gurls,6jJ0s89eD6GaHleKKya26X,Katy Perry,06SY6Ke6mXzZHhURLVU57R,234653,2010-08-24,70,0.788,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,3.9108833333333335,56uBMvAujYa1ZLSqkYk6hg,final,2010
3ksNHUNCTP6Pan8rjFnmtw,Never Worn White,6jJ0s89eD6GaHleKKya26X,Katy Perry,0Gubs5k8ay34m9a0yiliRa,225039,2020-03-05,50,0.544,0.353,11,-7.275,0,0.0303,0.706,0.0,0.105,0.357,138.059,3.75065,56uBMvAujYa1ZLSqkYk6hg,final,2020
7qvxFz3JodM0A7xEM7k3YD,Chained To The Rhythm,6jJ0s89eD6GaHleKKya26X,Katy Perry,0UlbGi4oAth8s6rwaGSU8Z,237733,2017-06-09,69,0.562,0.8,0,-5.404,1,0.112,0.0814,0.0,0.199,0.471,95.029,3.9622166666666665,56uBMvAujYa1ZLSqkYk6hg,final,2017
5JLv62qFIS1DR3zGEcApRt,Wide Awake,6jJ0s89eD6GaHleKKya26X,Katy Perry,5BvgP623rtvlc0HDcpzquz,220946,2012-03-12,68,0.514,0.683,5,-5.099,1,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,3.6824333333333334,56uBMvAujYa1ZLSqkYk6hg,final,2012
