track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
4qqkEwU79aHgtQQUEDqpUx,342545,23,0.629,0.945,9,-3.908,1,0.0307,0.122,0.938,0.363,0.483,110.034,5.709083333333333,2022
6iR4MqGHDmVldstP8f6RYS,227124,6,0.428,0.653,5,-7.388,0,0.033,0.0933,0.947,0.243,0.13,119.993,3.7854,2021
39olvSrxYHBsh9T0ss75N6,186400,7,0.471,0.977,1,-5.032,1,0.0384,0.00174,0.0979,0.325,0.865,149.951,3.1066666666666665,2022
2HllzMlBCRvjpxeutKgaLB,213715,26,0.612,0.702,6,-7.611,1,0.0287,0.000694,0.00208,0.0928,0.517,117.996,3.561916666666667,2022
72NVmY39Xhm9iVO98nAcYg,201925,6,0.503,0.721,8,-7.136,1,0.0325,0.0278,0.775,0.109,0.134,111.887,3.3654166666666665,2021
4KDMKZUsaW2Cnm8rrOQuVH,218331,15,0.702,0.597,1,-8.616,1,0.0355,0.267,0.825,0.111,0.619,137.997,3.63885,2022
0dqTA33jnllW88efkHVuD8,216965,3,0.497,0.576,9,-13.629,0,0.0339,0.0369,0.933,0.13,0.435,79.991,3.6160833333333335,2021
5SFT6SXEsuqQ0WMDcMy24w,162042,4,0.441,0.981,11,-6.922,0,0.0904,2.92e-05,0.623,0.601,0.499,155.042,2.7007,2022
5igQQxOeV1Kq0McYCMm4WM,171003,6,0.519,0.932,10,-4.517,0,0.0628,0.00267,0.535,0.204,0.547,120.049,2.85005,2022
35kQG1T407dFZZxjRI0rzN,252600,3,0.481,0.954,11,-6.365,1,0.0705,0.0888,0.0932,0.0767,0.269,85.0,4.21,2022
5xFXZk2cebFZ5hxB3lD3En,197182,23,0.571,0.885,7,-5.569,1,0.0484,0.0391,0.764,0.0942,0.847,160.373,3.286366666666667,2022
3Igg1OIEU5pbERO7fVsd3R,164000,7,0.571,0.778,2,-9.919,1,0.0323,0.0846,0.861,0.122,0.0773,119.967,2.7333333333333334,2022
7dnH1nnPNhtfF2nuVrJTKB,276139,22,0.699,0.921,11,-7.861,1,0.0639,0.00227,0.884,0.127,0.708,129.535,4.602316666666667,2022
0kBXvINUm33o7zPr01qF4x,399099,3,0.479,0.918,7,-9.81,0,0.0674,0.00445,0.813,0.0816,0.241,159.986,6.65165,2022
0NQu86oDub7KRmQwARnlJz,265846,14,0.664,0.233,7,-15.743,1,0.0338,0.483,0.934,0.12,0.312,130.012,4.430766666666667,2022
1WMYbWAD5C212VlSjoJcmO,181029,5,0.561,0.897,4,-4.485,0,0.0379,0.000248,0.0147,0.0911,0.449,97.564,3.01715,2022
